¼øÀ§,ÆÀ¸í,½Â,ÆÐ,¹«,½Â·ü,°ÔÀÓÂ÷,ÃÖ±Ù10°æ±â,¿¬¼Ó,È¨,¹æ¹®
1,µÎ»ê,93,50,1,0.65,0,6½Â0¹«4ÆÐ,2½Â,1946-01-25,47-0-25
2,NC,83,58,3,0.589,9,6½Â0¹«4ÆÐ,2ÆÐ,39-2-31,1944-01-27
3,³Ø¼¾,77,66,1,0.538,16,3½Â0¹«7ÆÐ,3ÆÐ,44-0-28,33-1-38
4,LG,71,71,2,0.5,21.5,4½Â1¹«5ÆÐ,1ÆÐ,40-2-30,31-0-41
5,KIA,70,73,1,0.49,23,5½Â0¹«5ÆÐ,2ÆÐ,38-0-34,32-1-39
6,SK,69,75,0,0.479,24.5,4½Â0¹«6ÆÐ,1½Â,35-0-37,34-0-38
7,ÇÑÈ­,66,75,3,0.468,26,6½Â0¹«4ÆÐ,3½Â,36-2-34,30-1-41
8,·Ôµ¥,66,78,0,0.458,27.5,5½Â0¹«5ÆÐ,2½Â,40-0-32,26-0-46
9,»ï¼º,65,78,1,0.455,28,5½Â0¹«5ÆÐ,1ÆÐ,34-0-38,31-1-40
10,kt,53,89,2,0.373,39.5,4½Â0¹«6ÆÐ,2½Â,28-0-44,25-2-45
