순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,연봉
1,이용규,한화,0.358,78,369,310,67,111,15,2,2,136,26,6,0,"134,000,000"
2,송광민,한화,0.346,70,299,269,52,93,18,2,14,157,58,4,6,"123,000,000"
3,최형우,삼성,0.346,87,390,327,63,113,29,0,19,199,76,0,4,"185,000,000"
4,고종욱,넥센,0.346,90,382,356,71,123,14,8,8,177,53,1,3,"124,000,000"
5,김태균,한화,0.345,92,412,328,55,113,26,0,10,169,70,0,4,"140,000,000"
6,김주찬,KIA,0.343,86,370,338,66,116,26,2,12,182,63,1,6,"156,000,000"
7,박건우,두산,0.343,88,353,318,58,109,25,2,12,174,55,4,4,"116,000,000"
8,김문호,롯데,0.341,89,403,361,56,123,22,2,6,167,50,0,2,"97,000,000"
9,박용택,LG,0.339,85,368,322,58,109,15,0,9,151,57,0,4,"163,000,000"
10,김성현,SK,0.335,96,369,331,45,111,21,0,5,147,43,4,6,"129,000,000"
11,테임즈,NC,0.334,83,362,290,84,97,18,3,30,211,80,0,6,"179,000,000"
12,정의윤,SK,0.334,96,411,377,51,126,23,1,21,214,78,0,4,"140,000,000"
13,채은성,LG,0.333,89,314,282,44,94,15,1,9,138,63,2,3,"89,000,000"
14,강민호,롯데,0.332,85,343,283,50,94,21,0,16,163,57,0,2,"147,000,000"
15,황재균,롯데,0.329,77,340,310,58,102,15,3,17,174,72,0,4,"134,000,000"
16,김재환,두산,0.329,84,337,295,61,97,17,1,24,188,72,0,4,"107,000,000"
17,이대형,kt,0.327,91,415,376,55,123,10,2,1,140,24,6,0,"103,000,000"
18,박석민,NC,0.326,82,341,291,49,95,14,0,20,169,69,2,3,"124,000,000"
19,박민우,NC,0.326,69,300,258,54,84,11,5,1,108,39,6,4,"110,000,000"
20,로사리오,한화,0.325,91,385,354,54,115,23,1,24,212,86,1,2,"129,000,000"
21,민병헌,두산,0.321,91,407,364,67,117,22,3,14,187,63,1,2,"116,000,000"
22,히메네스,LG,0.317,91,396,356,71,113,20,0,23,202,77,0,5,"160,000,000"
23,필,KIA,0.317,91,382,347,52,110,25,1,15,182,69,0,4,"143,000,000"
24,나지완,KIA,0.317,85,345,262,67,83,15,2,20,162,60,0,2,"139,000,000"
25,나성범,NC,0.316,88,403,351,80,111,22,2,18,191,77,0,3,"151,000,000"
26,손시헌,NC,0.316,79,306,263,28,83,18,1,5,118,33,7,1,"140,000,000"
27,이택근,넥센,0.311,83,307,273,42,85,9,1,5,111,40,0,2,"92,000,000"
28,이범호,KIA,0.309,91,372,330,61,102,19,0,20,181,70,0,4,"157,000,000"
29,정근우,한화,0.309,89,427,376,76,116,19,1,13,176,62,1,4,"134,000,000"
30,김민성,넥센,0.307,94,388,345,48,106,24,4,11,171,60,1,8,"118,000,000"
31,손아섭,롯데,0.306,93,432,369,78,113,22,1,9,164,45,0,2,"136,000,000"
32,서동욱,KIA,0.304,80,313,260,49,79,15,2,10,128,47,4,2,"124,000,000"
33,대니돈,넥센,0.301,90,373,312,50,94,23,1,12,155,58,0,4,"86,000,000"
34,정성훈,LG,0.301,78,284,249,39,75,11,1,4,100,36,4,2,"134,000,000"
35,김하성,넥센,0.301,95,396,346,64,104,22,6,14,180,59,1,3,"116,000,000"
36,에반스,두산,0.299,85,356,301,52,90,24,0,19,171,63,0,5,"124,000,000"
37,고메즈,SK,0.298,79,336,309,56,92,20,0,17,163,42,2,3,"167,000,000"
38,서건창,넥센,0.298,92,425,373,72,111,22,5,4,155,45,2,3,"129,000,000"
39,허경민,두산,0.297,94,403,357,59,106,15,4,4,141,53,4,2,"112,000,000"
40,이종욱,NC,0.295,82,336,295,48,87,17,2,4,120,37,3,3,"108,000,000"
41,이지영,삼성,0.295,88,291,268,23,79,8,0,5,102,33,5,2,"89,000,000"
42,김재호,두산,0.292,93,343,277,47,81,12,2,4,109,48,4,11,"147,000,000"
43,이재원,SK,0.292,91,332,288,32,84,10,0,13,133,49,2,7,"134,000,000"
44,박경수,kt,0.291,86,341,282,43,82,17,0,13,138,58,0,4,"123,000,000"
45,백상원,삼성,0.289,85,324,277,35,80,13,3,1,102,33,10,5,"85,000,000"
46,이승엽,삼성,0.287,92,414,355,56,102,18,2,17,175,74,0,7,"124,000,000"
47,채태인,넥센,0.286,82,306,266,22,76,9,2,3,98,51,0,7,"140,000,000"
48,박해민,삼성,0.285,92,412,358,67,102,17,6,2,137,30,17,2,"138,000,000"
49,이호준,NC,0.284,79,320,271,30,77,13,0,13,129,59,1,2,"116,000,000"
50,김호령,KIA,0.281,74,322,285,40,80,7,3,5,108,28,6,1,"76,000,000"
51,이병규,LG,0.281,81,306,253,38,71,10,2,6,103,30,0,2,"135,000,000"
52,최준석,롯데,0.28,78,321,264,40,74,10,0,14,126,56,0,4,"129,000,000"
53,마르테,kt,0.274,85,356,303,50,83,16,0,21,162,72,0,5,"149,000,000"
54,정훈,롯데,0.272,91,345,294,37,80,17,2,0,101,38,4,1,"140,000,000"
55,오재원,두산,0.271,78,319,277,35,75,12,0,2,93,37,2,4,"92,000,000"
56,배영섭,삼성,0.27,74,335,282,46,76,15,0,4,103,22,1,1,"115,000,000"
57,박정권,SK,0.268,81,314,291,36,78,16,1,10,126,38,2,2,"108,000,000"
58,최정,SK,0.265,95,407,332,70,88,14,1,24,176,61,0,4,"110,000,000"
59,박동원,넥센,0.236,84,303,280,29,66,16,0,8,106,48,5,0,"93,000,000"
