2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
12,1,24,서원초-세광중-세광고-롯데-SK,1,35,1,29,0,52,1983년 02월 08일,고효준,0,0,0,179cm/73kg,39,80000000,0,0,46,1.8,110000000,02롯데,31,02 롯데 2차 1라운드 6순위,0,222,924,KIA,2,6.07,투수(좌투좌타),3,54,0.29,2,6,3,2
8,1,27,송정동초-무등중-광주제일고,0,21,1,22,1,16,1986년 03월 14일,곽정철,2,0,0,186cm/97kg,24,55000000,0,0,27.33333333,2.05,130000000,15KIA,24,05 KIA 1차,0,137,526,KIA,1,7.9,투수(우투우타),1,34,0.309,1,3,2,1
10,1,54,숭의초-상인천중-인천고-LG-한화,1,55,0,22,4,39,1981년 05월 05일,김광수,7,0.25,2,182cm/84kg,31,100000000,0,0,52.33333333,1.7,135000000,00LG,30,00 LG 2차 2라운드 11순위,0,241,970,KIA,6,5.16,투수(우투우타),2,67,0.312,14,5,3,1
8,0,31,남도초-경상중-경북고-KIA-상무,0,49,0,38,1,47,1993년 04월 01일,김윤동,2,0,0,186cm/88kg,33,27000000,0,0,53,1.62,80000000,12KIA,32,12 KIA 4라운드 38순위,0,242,1046,KIA,3,5.43,투수(우투우타),4,48,0.241,2,9,1,1
4,0,11,광주서석초-진흥중-진흥고,1,94,0,5,0,10,1983년 03월 07일,김진우,0,0.667,2,193cm/115kg,8,120000000,0,0,15,1.4,700000000,02KIA,8,02 KIA 1차,0,65,242,KIA,1,4.8,투수(우투우타),2,16,0.276,2,3,0,0
11,1,46,송정동초-진흥중-중앙고-동강대,3,38,0,22,2,33,1992년 06월 26일,박준표,0,1,4,181cm/93kg,39,45000000,0,0,51.66666667,1.59,40000000,13KIA,36,13 KIA 7라운드 62순위,0,238,894,KIA,0,6.27,투수(우언우타),2,60,0.297,5,4,2,4
3,0,54,광주화정초-충장중-광주제일고,0,1,0,21,1,33,1991년 09월 20일,심동섭,1,0.714,5,185cm/93kg,30,140000000,0,0,37.66666667,1.75,180000000,10KIA,27,10 KIA 1라운드 3순위,0,182,760,KIA,2,6.45,투수(좌투좌타),2,45,0.292,13,5,1,2
31,2,31,학강초-동성중-동성고,0,54,2,77,0,146,1988년 03월 01일,양현종,0,0.455,10,183cm/91kg,96,750000000,0,3,200.3333333,1.34,200000000,07KIA,82,07 KIA 2차 1라운드 1순위,22,850,3207,KIA,12,3.68,투수(좌투좌타),6,191,0.255,0,19,16,5
2,1,16,구리초(구리리틀)-구리인창중-야탑고,0,20,0,8,0,26,1986년 07월 24일,윤석민,1,0.5,2,184cm/89kg,14,1250000000,0,1,31,1.42,130000000,05KIA,11,05 KIA 2차 1라운드 6순위,2,139,516,KIA,2,3.19,투수(우투우타),1,36,0.286,6,1,0,0
3,2,13,군산남초-군산중-군산상고-중앙대,0,65,0,11,1,7,1992년 08월 10일,이준영,0,0,0,177cm/82kg,17,27000000,0,0,17.66666667,1.87,80000000,15KIA,17,15 KIA 2차 4라운드 42순위,0,87,360,KIA,2,8.66,투수(좌투좌타),1,22,0.293,1,4,1,0
5,1,19,서림초-진흥중-진흥고-(전남과학대)-KIA-경찰,1,56,0,33,0,15,1991년 10월 08일,임기준,1,0,0,182cm/83kg,23,33000000,0,0,31.33333333,2.23,100000000,10KIA,21,10 KIA 2라운드 14순위,0,158,630,KIA,2,6.03,투수(좌투좌타),1,37,0.316,1,2,3,1
7,1,34,대성초-진흥중-진흥고-해태-삼성,3,12,1,10,6,38,1976년 06월 04일,임창용,15,0.5,3,180cm/75kg,18,300000000,0,0,35,1.57,30000000,95해태,17,95 해태 고졸신인,0,159,614,KIA,3,4.37,투수(우언우타),5,45,0.313,0,5,2,2
3,1,8,남도초-경복중-대구상원고,0,69,0,8,0,11,1996년 04월 18일,전상현,0,0,0,182cm/84kg,13,27000000,0,0,13.33333333,2.03,70000000,16KIA,12,16 KIA 2차 4라운드 38순위,0,67,272,KIA,2,8.1,투수(우투우타),0,19,0.345,1,3,3,1
7,0,9,백운초-덕수중-휘문고,1,59,0,6,0,4,1997년 03월 20일,정동현,0,0.333,1,185cm/99kg,13,27000000,0,0,18,1.44,90000000,16KIA,12,16 KIA 2차 3라운드 23순위,0,79,277,KIA,2,6,투수(좌투좌타),0,20,0.286,0,2,1,0
3,3,12,인헌초-선린중-충암고,1,47,1,20,0,12,1990년 07월 06일,정용운,0,0,0,185cm/83kg,21,28000000,0,0,21.66666667,2.35,120000000,09KIA,19,09 KIA 2차 2라운드 16순위,0,113,453,KIA,1,7.89,투수(좌투좌타),3,31,0.348,0,1,2,2
30,1,30,미국 Calton J.Kell고,0,28,1,68,0,125,1989년 09월 11일,지크,0,0.435,10,195cm/86kg,104,700000000,0,0,152,1.68,,16KIA,89,16 KIA 자유선발,11,705,2819,KIA,13,5.27,투수(우투우타),5,188,0.306,0,16,9,9
11,1,54,신곡초-수원북중-유신고-경희대-현대-한화-SK,0,19,0,8,1,54,1974년 05월 13일,최영필,2,0.571,4,184cm/92kg,26,130000000,0,0,57.33333333,1.43,,97현대,23,97 현대 1차,0,249,934,KIA,3,3.61,투수(우투우타),5,74,0.316,10,6,1,3
12,1,29,수창초-동성중-동성고-(광주대),3,17,0,30,1,27,1987년 04월 29일,한기주,1,0.571,4,186cm/95kg,48,65000000,0,0,56.66666667,1.96,1000000000,06KIA,48,06 KIA 1차,0,278,1020,KIA,3,7.62,투수(우투우타),1,81,0.342,1,11,5,1
7,1,36,도신초-강남중-덕수고,1,41,0,19,0,31,1993년 01월 03일,한승혁,1,0.6,3,185cm/94kg,21,70000000,0,0,33.33333333,1.65,180000000,11KIA,18,11 KIA 1라운드 8순위,0,152,610,KIA,2,4.86,투수(우투좌타),8,36,0.286,9,3,3,2
34,3,31,도미니카 라몬마티아멜라고,0,43,0,51,0,139,1987년 01월 26일,헥터,0,0.75,15,191cm/93kg,88,1700000000,1,3,206.6666667,1.27,,16KIA,78,16 KIA 자유선발,21,868,3334,KIA,5,3.4,투수(우투우타),7,211,0.268,0,7,13,12
17,1,50,화순초-화순중-화순고-KIA-상무,2,48,0,41,3,83,1992년 09월 29일,홍건희,4,0.5,4,185cm/91kg,53,45000000,0,0,90.33333333,1.59,140000000,11KIA,50,11 KIA 2라운드 9순위,2,407,1631,KIA,4,4.98,투수(우투우타),8,103,0.288,5,10,3,4
